name,year,genre
Homicide: Part 2,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Get Rollin',(1980),"<span class=""genre"">
Documentary, Drama            </span>"
"Paradise Not Yet Lost, or Oona's Third Year",(1980),"<span class=""genre"">
Documentary            </span>"
Wilson's Reward,(1980 TV Movie),"<span class=""genre"">
Adventure, Drama            </span>"
Style with Elsa Klensch,(1980– ),"<span class=""genre"">
News            </span>"
The Adventures of Perckle,(1980),"<span class=""genre"">
Short, Comedy            </span>"
"Farewell, Etaoin Shrdlu",(1980),"<span class=""genre"">
Documentary, Short            </span>"
Gettin' to Know Me,(1980– ),
Salem Witches,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Oye Willie,(1980–1981),"<span class=""genre"">
Drama            </span>"
Hotel Oceanview,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Why Did the Fireman...,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Not Quite South of the Border,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Murder on the Moose Jaw Express: Part 1,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Vanished: Part 1,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
The Child Stealers,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Fog,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
An Evening with Quentin Crisp,(1980),"<span class=""genre"">
Comedy            </span>"
Fred Astaire: Change Partners and Dance,(1980 TV Movie),"<span class=""genre"">
Documentary, Music            </span>"
Trick of the Light,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Out West,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Hollywood Goes to War,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Hazard of the Game,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Comedy: A Serious Business,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Autocrats,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Episode #17.145,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
The Beach Boys: A Celebration Concert,(1980 TV Special),"<span class=""genre"">
Music            </span>"
An Evening with Liza Minnelli,(1980 TV Special),"<span class=""genre"">
Music            </span>"
Free Voice of Labor: The Jewish Anarchists,(1980),"<span class=""genre"">
Documentary            </span>"
Jimmy Hoffa,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Episode #17.187,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Episode #17.165,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Murder on the Moose Jaw Express: Part 2,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
The First Store,(1975–1985),"<span class=""genre"">
Comedy            </span>"
The Ghosts of Buxley Hall: Part 2,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
The Inventor,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
The Return of Sammy,(1979–1983),"<span class=""genre"">
Comedy            </span>"
Archie Alone: Part 2,(1979–1983),"<span class=""genre"">
Comedy            </span>"
Archie Alone: Part 1,(1979–1983),"<span class=""genre"">
Comedy            </span>"
The 32nd Annual Primetime Emmy Awards,(1980 TV Special),
Baryshnikov on Broadway,(1980 TV Special),"<span class=""genre"">
Documentary, Music, Musical            </span>"
The Shining,(1980),"<span class=""genre"">
Drama, Horror            </span>"
Lion of the Desert,(1980),"<span class=""genre"">
Biography, Drama, History            </span>"
AC/DC: Let There Be Rock,(1980),"<span class=""genre"">
Documentary, Music            </span>"
Social Life of Small Urban Spaces,(1980),"<span class=""genre"">
Documentary            </span>"
In the Beginning,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
UFO Coverups,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Dangerous Volcanoes,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Morale Victory,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
The New Girl: Part 1,(1979–1988),"<span class=""genre"">
Comedy, Family            </span>"
The Architect,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Guns,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Barry Manilow: One Voice,(1980 TV Special),"<span class=""genre"">
Music            </span>"
The Donna Summer Special,(1980 TV Special),
Waylon,(1980 TV Movie),"<span class=""genre"">
Music            </span>"
Elektra,(1977– ),"<span class=""genre"">
Music            </span>"
The Nocturnal Immaculation,(1980),"<span class=""genre"">
Short            </span>"
Willow B: Women in Prison,(1980 TV Movie),"<span class=""genre"">
Crime, Drama            </span>"
Shadows and Light,(1980 Video),"<span class=""genre"">
Documentary, Music            </span>"
Top of the Hill,(1980 TV Movie),"<span class=""genre"">
Action, Drama            </span>"
Blondie: Call Me - Version 1,(1980 Video),"<span class=""genre"">
Short, Music            </span>"
Michael Jackson: She's Out of My Life,(1980 Video),"<span class=""genre"">
Short, Music            </span>"
Red Skelton's Funny Faces,(1980 TV Movie),"<span class=""genre"">
Comedy            </span>"
Speed of Light,(1980),"<span class=""genre"">
Short            </span>"
Swanson and Valentino,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Single Beds and Double Standards,(1980– ),"<span class=""genre"">
Documentary, History            </span>"
Episode #17.174,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Venus Rising,(1978–1982),"<span class=""genre"">
Comedy            </span>"
The Americanization of Ivan,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Real Families,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Most Improved Station,(1978–1982),"<span class=""genre"">
Comedy            </span>"
"Bah, Humbug",(1978–1982),"<span class=""genre"">
Comedy            </span>"
A Mile in My Shoes,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Old Soldiers,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
Heal Thyself,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
May We Make Them Proud: Part 2,(1974–1983),"<span class=""genre"">
Drama, Family, Romance            </span>"
May We Make Them Proud: Part 1,(1974–1983),"<span class=""genre"">
Drama, Family, Romance            </span>"
You Oughta Be in Pictures,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
The Right to Light,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Separate Tables,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
The Beatnik Show,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Carnival of Thrills,(1979–1985),"<span class=""genre"">
Action, Comedy            </span>"
"And in This Corner, Luke Duke",(1979–1985),"<span class=""genre"">
Action, Comedy            </span>"
Escape to Witch Mountain,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
Who Done It?,(1978–1991),"<span class=""genre"">
Drama, Romance            </span>"
Three for the Money,(1976–1981),"<span class=""genre"">
Action, Adventure, Crime            </span>"
The Delegate,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
People's Court,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Homicide: Part 1,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Dietrich's Arrest: Part 2,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Dietrich's Arrest: Part 1,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Call Girl,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Run to Death,(1973–1980),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Where Do Teenagers Come From?,(1972–1997),"<span class=""genre"">
Adventure, Comedy, Drama            </span>"
Shirley MacLaine... 'Every Little Movement',(1980 TV Movie),"<span class=""genre"">
Music            </span>"
The Cheryl Ladd Special: Souvenirs,(1980 TV Special),"<span class=""genre"">
Music            </span>"
Whatever Happened to Lori Jean Lloyd,(1980 TV Short),"<span class=""genre"">
Documentary, Short            </span>"
Dialogue with a Woman Departed,(1980),"<span class=""genre"">
Documentary            </span>"
The Righteous Apples,(1980– ),"<span class=""genre"">
Comedy, Drama            </span>"
Raging Bull,(1980),"<span class=""genre"">
Biography, Drama, Sport            </span>"
Oppenheimer,(1980),"<span class=""genre"">
Biography, Drama, History            </span>"
A Strange Harvest,(1980 TV Movie),"<span class=""genre"">
Documentary            </span>"
Episode #17.113,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
The Waltons: A Decade of the Waltons,(1980 TV Movie),"<span class=""genre"">
Drama, Family            </span>"
Life After Life,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Fountain of Youth,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
"Antonio, the Amazing",(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Episode #18.42,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Episode #17.61,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Episode #3.22,(1977–1981),"<span class=""genre"">
Comedy, Drama, Romance            </span>"
Steve Martin/Paul & Linda McCartney/3-D,(1975– ),"<span class=""genre"">
Comedy, Music            </span>"
Mork Learns to See,(1978–1982),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
A War for All Seasons,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
Deathmask,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Flash Flood,(1979–1988),"<span class=""genre"">
Comedy, Family            </span>"
Ann-Margret: Hollywood Movie Girls,(1980 TV Special),"<span class=""genre"">
Comedy, Music            </span>"
The Trouble with Miss Switch,(1977–1995),"<span class=""genre"">
Animation, Adventure, Comedy            </span>"
The Bozo Show,(1980–1994),"<span class=""genre"">
Family            </span>"
Un ballo in maschera,(1977– ),"<span class=""genre"">
Music            </span>"
Horizons,(1980),
On Company Business,(1980),"<span class=""genre"">
Documentary, History            </span>"
Life on the Mississippi,(1971– ),"<span class=""genre"">
Music            </span>"
The Elephant Man,(1980),"<span class=""genre"">
Biography, Drama            </span>"
Shogun,(1980),"<span class=""genre"">
Adventure, Drama, History            </span>"
Stryker's War,(1980 Video),"<span class=""genre"">
Short, Action            </span>"
Gallagher: An Uncensored Evening,(1980 TV Special),"<span class=""genre"">
Comedy            </span>"
Johnny Carson's 18th Anniversary Special,(1980 TV Special),"<span class=""genre"">
Comedy            </span>"
I Am Wanda,(1980),"<span class=""genre"">
Documentary            </span>"
Faith Healing,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Acupuncture,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Dieting,(1979–1988),"<span class=""genre"">
Comedy, Family            </span>"
Episode #18.2,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Episode #17.74,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Episode #3.14,(1977–1981),"<span class=""genre"">
Comedy, Drama, Romance            </span>"
Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity,(1975– ),"<span class=""genre"">
Comedy, Music            </span>"
Jeanie Loves Mork,(1978–1982),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Letters,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
No Girls for Doc/Marriage of Convenience/The Caller/The Witness,(1977–1987),"<span class=""genre"">
Comedy, Drama, Romance            </span>"
Wilder and Wilder,(1974–1983),"<span class=""genre"">
Drama, Family, Romance            </span>"
Not Quite New York,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Equinox,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Jock's Trial: Part 2,(1978–1991),"<span class=""genre"">
Drama, Romance            </span>"
Uniform Day,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Agent Orange,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Murray's Daughter,(1979–1983),"<span class=""genre"">
Comedy            </span>"
High Feather,(1980–1987),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Survival Run,(1980),"<span class=""genre"">
Documentary, Short, Biography            </span>"
Ultima,(1980 Video Game),"<span class=""genre"">
Action, Adventure, Fantasy            </span>"
The Pirates of Penzance,(1980 TV Movie),"<span class=""genre"">
Comedy, Musical            </span>"
Bob Hope for President,(1980 TV Special),"<span class=""genre"">
Comedy            </span>"
The First 40 Years,(1980 TV Special),"<span class=""genre"">
Music            </span>"
The Magic of David Copperfield III: Levitating Ferrari,(1980 TV Special),"<span class=""genre"">
Comedy, Family, Fantasy            </span>"
The Incredible Book Escape,(1979–1983),"<span class=""genre"">
Animation, Adventure, Family            </span>"
Memories of Duke,(1980),"<span class=""genre"">
Documentary, Biography, Music            </span>"
3-2-1 Contact,(1980–1992),"<span class=""genre"">
Family            </span>"
The Bill Tush Show,(1980– ),"<span class=""genre"">
Comedy            </span>"
Roughnecks,(1980 TV Movie),"<span class=""genre"">
Action, Drama, Thriller            </span>"
Off the Minnesota Strip,(1980 TV Movie),"<span class=""genre"">
Drama            </span>"
Mr. Krueger's Christmas,(1980 TV Short),"<span class=""genre"">
Drama, Family, Fantasy            </span>"
Kagemusha,(1980),"<span class=""genre"">
Drama, History, War            </span>"
"Hamlet, Prince of Denmark",(1980 TV Movie),"<span class=""genre"">
Drama            </span>"
One in a Million,(1980– ),"<span class=""genre"">
Comedy            </span>"
Daughters of Chaos,(1980),"<span class=""genre"">
Short            </span>"
Dyan Cannon/Rodney Dangerfield/Arnaud de Borchgrave/Jim Fowler,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Don't Eat the Snow in Hawaii: Part 2,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
Lake Placid 1980: XIII Olympic Winter Games,(1980 TV Movie),"<span class=""genre"">
Sport            </span>"
The Lindbergh Kidnapping,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
Put Up or Shut Up,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Les' Groupie,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Jennifer Moves,(1978–1982),"<span class=""genre"">
Comedy            </span>"
A Mommy for Mindy,(1978–1982),"<span class=""genre"">
Comedy, Family, Sci-Fi            </span>"
Dreams,(1972–1983),"<span class=""genre"">
Comedy, Drama, War            </span>"
That's My Dad/The Captain's Bird/Captive Audience,(1977–1987),"<span class=""genre"">
Comedy, Drama, Romance            </span>"
The Survival Test,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
The Collector,(1976–1983),"<span class=""genre"">
Comedy, Family            </span>"
Hitchhike: Part 1,(1979–1993),"<span class=""genre"">
Drama, Romance            </span>"
The Arrival: Part 2,(1975–1985),"<span class=""genre"">
Comedy            </span>"
Broken Image,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Shoplifting,(1979–1988),"<span class=""genre"">
Comedy, Family            </span>"
The Bank Job,(1978–1986),"<span class=""genre"">
Comedy, Drama, Family            </span>"
The Wheeler Dealer,(1978–1991),"<span class=""genre"">
Drama, Romance            </span>"
The Fourth Son,(1978–1991),"<span class=""genre"">
Drama, Romance            </span>"
No More Mister Nice Guy: Part 1,(1978–1991),"<span class=""genre"">
Drama, Romance            </span>"
"Divorce, Ewing Style",(1978–1991),"<span class=""genre"">
Drama, Romance            </span>"
Encore!,(1980 TV Special),"<span class=""genre"">
Music            </span>"
Made Manifest,(1980),"<span class=""genre"">
Short            </span>"
A Family of Strangers,(1972–1997),"<span class=""genre"">
Adventure, Comedy, Drama            </span>"
Shogun,(1980 TV Movie),"<span class=""genre"">
Adventure, Drama, History            </span>"
White Mama,(1980 TV Movie),"<span class=""genre"">
Drama            </span>"
Skyward,(1980 TV Movie),"<span class=""genre"">
Drama            </span>"
Scruffy,(1977–1995),"<span class=""genre"">
Animation, Adventure, Comedy            </span>"
Don't Eat the Snow in Hawaii,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
The Blues Brothers,(1980),"<span class=""genre"">
Adventure, Comedy, Crime            </span>"
United States,(1980),"<span class=""genre"">
Comedy            </span>"
Nobody's Perfect,(I) (1980– ),"<span class=""genre"">
Comedy            </span>"
Charles Nelson Reilly/Pete Barbutti/Victor Buono/Tom Brokaw,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Dan August: The Trouble with Women,(1980 TV Movie),"<span class=""genre"">
Drama            </span>"
Michael Landon/Paul Ehrlich/Jim Fowler,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
The Inside Story with Slim Goodbody,(1980– ),"<span class=""genre"">
Family            </span>"
Daredevil Death Wish,(1976–1982),"<span class=""genre"">
Documentary, Sci-Fi            </span>"
The Longest Day,(1975–1985),"<span class=""genre"">
Comedy            </span>"
The Inspiration,(1971–1981),"<span class=""genre"">
Drama, Family, Romance            </span>"
Cradle Song,(1981),"<span class=""genre"">
Short            </span>"
An Evening with Danny Kaye and the New York Philharmonic,(1976– ),"<span class=""genre"">
Music, Musical            </span>"
The Insanity Show,(1981),"<span class=""genre"">
Short, Comedy            </span>"
The First: Part 2,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
The Empire Cracks Back,(1981),"<span class=""genre"">
Short, Comedy            </span>"
Live from Studio 8H: 100 Years of America's Popular Music,(1981 TV Special),"<span class=""genre"">
Music            </span>"
Diana,(1981 TV Special),"<span class=""genre"">
Music            </span>"
The Shepherds of Berneray,(1981),"<span class=""genre"">
Documentary            </span>"
Clipperton: The Island Time Forgot,(1981),"<span class=""genre"">
Documentary            </span>"
Hardcase,(1981 TV Movie),"<span class=""genre"">
Crime, Mystery            </span>"
The Consultant,(1978–1982),"<span class=""genre"">
Comedy            </span>"
An Explosive Affair: Part 2,(1978–1982),"<span class=""genre"">
Comedy            </span>"
An Explosive Affair: Part 1,(1978–1982),"<span class=""genre"">
Comedy            </span>"
The First: Part 1,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
A Disney Halloween,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
Real Heroes,(1981),"<span class=""genre"">
Short            </span>"
Clean Up Radio Everywhere,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Il trittico,(1977– ),"<span class=""genre"">
Music            </span>"
"Sorry, Wrong Meeting",(1975–1985),"<span class=""genre"">
Comedy            </span>"
"Detective Finger, I Presume",(1978–1981),"<span class=""genre"">
Adventure, Comedy            </span>"
Rush: Exit... Stage Left,(1981 Video),"<span class=""genre"">
Music            </span>"
Celebration,(1981 TV Movie),
Purlie,(1981 TV Movie),"<span class=""genre"">
Comedy, Musical, Family            </span>"
Talmage Farlow,(1981),"<span class=""genre"">
Documentary, Biography, Music            </span>"
La Traviata,(1977– ),"<span class=""genre"">
Music            </span>"
Video Soul,(1981–2000),"<span class=""genre"">
Music            </span>"
The Rocket Pilots,(1981 TV Movie),"<span class=""genre"">
Documentary            </span>"
Devo: The Men Who Make the Music,(1981 Video),"<span class=""genre"">
Comedy, Music            </span>"
Lady and the Bomb,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Crosscurrent,(1981 TV Movie),"<span class=""genre"">
Drama            </span>"
American Pictures,(1981),"<span class=""genre"">
Documentary            </span>"
Noticiero Univisión,(1981– ),"<span class=""genre"">
News            </span>"
Remember When...,(1981–1985),
"Baby, It's Cold Inside",(1978–1982),"<span class=""genre"">
Comedy            </span>"
Jennifer and the Will,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Disney Animation: The Illusion of Life,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
Stormy Weather,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
B.J. And the Seven Lady Truckers: Part 1,(1978–1981),"<span class=""genre"">
Adventure, Comedy            </span>"
Grateful Dead: Dead Ahead,(1981 Video),"<span class=""genre"">
Music            </span>"
The Color of Friendship,(1972–1997),"<span class=""genre"">
Adventure, Comedy, Drama            </span>"
Frank Sinatra: The Man and His Music,(1981 TV Special),"<span class=""genre"">
Music            </span>"
The 33rd Annual Primetime Emmy Awards,(1981 TV Special),
The 23rd Annual Grammy Awards,(1981 TV Special),"<span class=""genre"">
Music            </span>"
The Steeler and the Pittsburgh Kid,(1981 TV Movie),"<span class=""genre"">
Drama, Fantasy            </span>"
Guests of the Nation,(1981 TV Movie),"<span class=""genre"">
Drama, War            </span>"
Walt Disney: One Man's Dream,(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
David Steinberg/Jim Fowler,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Critical Condition,(1979–1993),"<span class=""genre"">
Drama, Romance            </span>"
"Follow Me, Boys!: Part 2",(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
The Psychic,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
The Librarian,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Contempt: Part 2,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Count Basie at Carnegie Hall,(1981 TV Special),"<span class=""genre"">
Music            </span>"
Arabic Numeral Series 0,(1981),"<span class=""genre"">
Short            </span>"
Leonard Nimoy Demonstrates the Magnavision Videodisc Player,(1981 Video),"<span class=""genre"">
Documentary            </span>"
Stoney Knows How,(1981),"<span class=""genre"">
Documentary, Short            </span>"
The Juggling Movie,(1981),"<span class=""genre"">
Short            </span>"
Episode #1.4757,(1963– ),"<span class=""genre"">
Crime, Drama, Romance            </span>"
Beneath the Skin,(1981),"<span class=""genre"">
Short, Horror, Mystery            </span>"
Venus and the Man,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Ask Jennifer,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Episode #18.182,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Richard Benjamin/Garry Shandling/Jan Stephenson,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Memories Are Forever,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
J. ,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
And the Doorknobs Shined Like Diamonds,(1975–1985),"<span class=""genre"">
Comedy            </span>"
"Follow Me, Boys!: Part 1",(1954–1991),"<span class=""genre"">
Adventure, Drama, Family            </span>"
Riot,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
Rachel,(1975–1982),"<span class=""genre"">
Comedy, Drama            </span>"
The Body Human: The Bionic Breakthrough,(1981 TV Movie),"<span class=""genre"">
Documentary            </span>"
Rigoletto,(1977– ),"<span class=""genre"">
Music            </span>"
Mountain Tops,(1981),"<span class=""genre"">
Documentary            </span>"
Mister Lincoln,(1981 TV Movie),"<span class=""genre"">
Biography            </span>"
The Weavers: Wasn't That a Time,(1981),"<span class=""genre"">
Documentary, Music            </span>"
Raiders of the Lost Ark,(1981),"<span class=""genre"">
Action, Adventure            </span>"
Freedom,(1981 TV Movie),"<span class=""genre"">
Drama            </span>"
Tom Tom Club: Genius of Love,(1981 Video),"<span class=""genre"">
Short, Music            </span>"
Your Eyes Only Live Twice,(1981),"<span class=""genre"">
Short, Comedy            </span>"
Richard Pryor/George Carlin,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
The Sixth Day,(1960–1984),"<span class=""genre"">
Drama            </span>"
Vincent,(1981 TV Movie),"<span class=""genre"">
Biography            </span>"
The Painting,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Who's on First?,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Rumors,(1978–1982),"<span class=""genre"">
Comedy            </span>"
Episode #19.12,(1962–1992),"<span class=""genre"">
Comedy, Talk-Show            </span>"
Lest We Forget,(1980–1988),"<span class=""genre"">
Action, Adventure, Crime            </span>"
Interview with the Hulk,(1977–1982),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Hill Street Station,(1981–1987),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
