Genres,Genre_count,Year
western,1,1996
animation,25,1997
drama,74,1997
adventure,43,1997
comedy,102,1997
action,35,1997
crime,20,1997
thriller,4,1997
mystery,19,1997
biography,2,1997
romance,26,1997
fantasy,16,1997
horror,1,1997
western,2,1997
mystery,14,1998
comedy,102,1998
drama,76,1998
action,52,1998
fantasy,22,1998
adventure,34,1998
crime,16,1998
romance,18,1998
animation,29,1998
horror,2,1998
sport,1,1998
biography,4,1998
comedy,80,1999
romance,17,1999
action,42,1999
drama,99,1999
fantasy,23,1999
biography,5,1999
crime,34,1999
adventure,21,1999
animation,9,1999
sport,6,1999
mystery,17,1999
horror,3,1999
war,3,1999
thriller,1,1999
horror,4,2000
mystery,14,2000
comedy,82,2000
animation,6,2000
drama,96,2000
action,29,2000
adventure,11,2000
crime,24,2000
fantasy,23,2000
romance,18,2000
biography,3,2000
sport,4,2000
drama,108,2001
animation,12,2001
comedy,80,2001
action,37,2001
fantasy,25,2001
crime,42,2001
war,2,2001
sport,6,2001
horror,3,2001
mystery,18,2001
biography,3,2001
romance,20,2001
adventure,10,2001
action,30,2002
mystery,7,2002
comedy,53,2002
fantasy,17,2002
drama,108,2002
sport,5,2002
animation,7,2002
horror,1,2002
adventure,21,2002
crime,44,2002
war,3,2002
thriller,12,2002
romance,14,2002
musical,2,2002
comedy,54,2003
horror,1,2003
drama,96,2003
crime,28,2003
action,27,2003
adventure,20,2003
fantasy,18,2003
animation,12,2003
thriller,6,2003
romance,10,2003
mystery,8,2003
sport,4,2003
biography,3,2003
western,1,2003
musical,1,2003
mystery,7,2004
comedy,60,2004
animation,13,2004
drama,84,2004
romance,13,2004
crime,25,2004
thriller,10,2004
action,29,2004
fantasy,9,2004
adventure,23,2004
war,1,2004
sport,5,2004
horror,2,2004
musical,3,2004
biography,2,2004
western,1,2004
comedy,43,2005
drama,86,2005
sport,4,2005
mystery,17,2005
thriller,7,2005
horror,3,2005
action,31,2005
crime,21,2005
adventure,31,2005
romance,10,2005
fantasy,11,2005
animation,16,2005
war,1,2005
biography,2,2005
musical,1,2005
comedy,51,2006
drama,78,2006
horror,3,2006
thriller,4,2006
romance,21,2006
biography,4,2006
fantasy,9,2006
sport,17,2006
mystery,15,2006
crime,17,2006
adventure,10,2006
animation,7,2006
action,9,2006
war,1,2006
musical,1,2006
drama,81,2007
horror,11,2007
comedy,62,2007
adventure,21,2007
animation,5,2007
musical,4,2007
biography,6,2007
sport,9,2007
crime,14,2007
action,12,2007
fantasy,18,2007
romance,22,2007
thriller,5,2007
mystery,11,2007
war,1,2007
drama,69,2008
comedy,62,2008
sport,9,2008
romance,12,2008
mystery,8,2008
animation,8,2008
action,9,2008
adventure,14,2008
fantasy,13,2008
war,1,2008
crime,16,2008
thriller,20,2008
western,3,2008
horror,10,2008
biography,2,2008
musical,2,2008
horror,14,2009
mystery,18,2009
comedy,60,2009
drama,102,2009
fantasy,17,2009
action,11,2009
romance,13,2009
thriller,19,2009
crime,24,2009
animation,5,2009
sport,3,2009
adventure,5,2009
western,3,2009
musical,1,2009
biography,4,2009
war,1,2009
comedy,82,2010
drama,108,2010
biography,7,2010
fantasy,16,2010
mystery,10,2010
crime,14,2010
romance,13,2010
horror,21,2010
thriller,18,2010
musical,5,2010
adventure,23,2010
action,21,2010
sport,3,2010
war,2,2010
animation,2,2010
horror,20,2011
drama,93,2011
adventure,22,2011
action,26,2011
comedy,75,2011
thriller,14,2011
crime,25,2011
biography,4,2011
musical,3,2011
fantasy,11,2011
romance,11,2011
sport,2,2011
mystery,6,2011
animation,2,2011
sport,7,2012
comedy,68,2012
biography,13,2012
drama,99,2012
thriller,18,2012
animation,5,2012
horror,19,2012
mystery,16,2012
fantasy,9,2012
crime,23,2012
romance,8,2012
musical,5,2012
action,24,2012
adventure,7,2012
sport,7,2013
horror,16,2013
adventure,27,2013
comedy,49,2013
drama,85,2013
action,45,2013
crime,34,2013
thriller,27,2013
musical,6,2013
fantasy,10,2013
biography,5,2013
romance,13,2013
mystery,7,2013
animation,13,2013
musical,3,2014
drama,120,2014
crime,25,2014
horror,18,2014
action,44,2014
comedy,52,2014
thriller,16,2014
biography,4,2014
fantasy,14,2014
romance,13,2014
adventure,32,2014
western,2,2014
animation,19,2014
mystery,12,2014
drama,114,2015
fantasy,12,2015
horror,17,2015
action,27,2015
comedy,59,2015
thriller,15,2015
mystery,7,2015
crime,27,2015
romance,6,2015
adventure,17,2015
animation,8,2015
sport,3,2015
biography,1,2015
musical,1,2015
drama,113,2016
musical,4,2016
horror,22,2016
romance,8,2016
comedy,60,2016
fantasy,7,2016
thriller,9,2016
adventure,12,2016
action,25,2016
crime,17,2016
mystery,7,2016
sport,3,2016
biography,3,2016
animation,2,2016
war,3,2016
action,9,2017
drama,101,2017
comedy,63,2017
war,3,2017
horror,17,2017
thriller,9,2017
fantasy,11,2017
biography,1,2017
mystery,6,2017
animation,6,2017
adventure,11,2017
romance,6,2017
crime,11,2017
musical,2,2017
sport,5,2017
western,2,2017
comedy,65,2018
horror,13,2018
drama,80,2018
thriller,11,2018
musical,3,2018
romance,8,2018
mystery,14,2018
action,18,2018
adventure,14,2018
crime,17,2018
fantasy,14,2018
animation,7,2018
war,1,2018
western,1,2018
biography,2,2018
drama,91,2019
comedy,46,2019
crime,17,2019
horror,14,2019
fantasy,13,2019
thriller,21,2019
adventure,8,2019
action,10,2019
mystery,7,2019
musical,2,2019
sport,1,2019
animation,9,2019
romance,6,2019
biography,1,2019
western,1,2019
